ID_REF	IDENTIFIER	GSM1329158	GSM1329160	GSM1329157	GSM1329159
1778328_at	PMP2	13.4498	13.1138	13.3368	13.2347
1778705_at	ARK1	9.31458	8.80636	9.13275	8.98824
1777102_at	SNC1	11.3689	11.1089	11.2638	11.1856
1772693_at	SWI1	9.43545	8.70331	9.20186	8.88728
1773159_s_at	YDR261W-B	12.8753	12.3575	12.7187	12.5064
1773919_at	COX8	10.8618	9.83718	10.488	10.1405
1776484_at	YLR154W-F	11.5348	10.3556	11.2489	10.6303
1777670_at	NHP6B	12.2365	11.7564	12.1082	11.8639
1772586_at	RAD28	8.87234	7.66417	8.6147	8.05457
1772806_at	RTC1	7.84207	6.72052	7.55233	7.077
1771829_at	PUP2	12.7526	12.5135	12.6908	12.5774
1774852_at	KRE1	11.9253	11.626	11.8734	11.7278
1779835_at	ERD2	9.86781	9.22987	9.73894	9.46022
1773743_at	KSH1	11.4042	11.1099	11.3477	11.1945
1775221_at	YBR255C-A	9.06145	7.60011	8.79874	8.23745
1779176_at	FRQ1	11.0098	10.6903	10.9561	10.8126
1773104_s_at	YBL005W-A	12.6072	11.9672	12.4551	12.2129
1778360_at	HDA1	7.98176	7.40283	7.82998	7.62966
1775523_at	ARC18	11.3244	10.9392	11.2192	11.0944
1773621_at	ATP16	11.5221	11.0045	11.5831	11.2321
1776150_at	COX13	11.3118	10.6513	11.3632	10.9355
1776709_at	ERO1	11.7745	11.5089	11.7604	11.6036
1774263_at	EGT2	12.3875	11.8038	12.4957	12.08
1778885_at	YCL002C	9.25929	8.32765	9.46633	8.78671
